tier,level,mapName,subMapName,className,rank,mobName,mobLevel,mobAttack,mobHp,baseWeight,averageWeight,probabilityPercent,expectedKillsPer1000,expectedDamagePerBattle,expectedMobHitDamage,expectedDodgeChancePercent,expectedCriticalChancePercent,noPotionBattles,potions25Battles,potions100Battles
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",1,"Errante do Subúrbio",1,2,43,42,42,30.08,300.8,0.98,1,3.55,4.42,715,2756,8878
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",2,"Gato de Telhado Contaminado",4,4,79,24,35.89,25.7,257,1,1,2.2,5.32,700,2700,8700
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",3,"Rastejante de Garagem",4,4,86,15,21.96,15.72,157.2,1,1,2.2,5.32,700,2700,8700
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",4,"Morcego de Caixa d’Água",7,7,127,9,17.92,12.83,128.3,1.01,1,2,6.4,694,2674,8614
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",5,"Porteiro Infectado",7,8,138,6,11.95,8.55,85.5,1.01,1,2,6.22,694,2674,8614
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",6,"Síndico Devorado",10,12,206,4,9.95,7.12,71.2,2.03,2,2,7.3,345,1330,4286
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",1,"Errante do Subúrbio",1,1,43,42,42,30.08,300.8,0.79,1,22.45,3,311,2843,10437
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",2,"Gato de Telhado Contaminado",4,2,79,24,35.89,25.7,257,0.8,1,21.1,3,307,2807,10307
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",3,"Rastejante de Garagem",4,2,86,15,21.96,15.72,157.2,0.8,1,21.1,3,307,2807,10307
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",4,"Morcego de Caixa d’Água",7,3,127,9,17.92,12.83,128.3,0.82,1,19.3,3,300,2739,10056
