tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,121.7,3.9,"Lutador",30,701,84,96,90,8.7,10,8.35,18.35,196,1829,100,5.1,9.3,9330,100,8,1.05,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,121.7,3.9,"Assassino",30,246,86,4,129.9,8.7,10,8.3,18.3,196,1700,92.9,5.08,8.7,8676,93,11,1,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,121.7,3.9,"Atirador",30,268,88,6,130.5,8.7,10,7.95,17.95,200,1735,94.9,4.99,8.7,8676,93,11,0.99,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,121.7,3.9,"Medico",30,632,62,94,74.9,8.7,10,8.82,18.82,191,1782,97.4,5.23,9.3,9330,100,8,1.13,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,121.7,13.9,"Lutador",60,1229,160,186,180.6,14.7,10,24.73,34.73,103,1646,100,9.65,16,15984,100,18,2.18,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,121.7,13.9,"Assassino",60,402,160,10,355.8,14.7,10,23.07,33.07,108,1586,96.4,9.19,14.7,14682,91.9,22,2.01,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,121.7,13.9,"Atirador",60,424,160,14,355.3,14.7,10,23.07,33.07,108,1586,96.4,9.19,14.7,14682,91.9,20,1.83,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,121.7,13.9,"Medico",60,1112,114,184,155.9,14.7,10,24.98,34.98,102,1630,99,9.72,16,15984,100,17,2.42,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,121.7,23.9,"Lutador",90,1739,236,274,281.9,26.3,10,32.13,42.13,85,2434,100,11.7,28.6,28634,100,36,7.14,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,121.7,23.9,"Assassino",90,534,236,14,726.5,26.3,10,29.48,39.48,91,2360,97,10.97,25.9,25930,90.6,61,7.67,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,121.7,23.9,"Atirador",90,550,240,16,751.2,26.3,10,29.48,39.48,91,2360,97,10.97,25.9,25930,90.6,58,7.42,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,121.7,23.9,"Medico",90,1580,164,272,254.3,26.3,10,32.13,42.13,85,2434,100,11.7,28.6,28634,100,37,8.45,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,121.7,33.9,"Lutador",120,2261,306,364,383.9,42.6,10,39,49,73,3361,100,13.61,46,46046,100,65,13.76,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,121.7,33.9,"Assassino",120,672,310,18,1161.2,42.6,10,35,45,80,3324,98.9,12.5,41.6,41555,90.2,115,14.89,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,121.7,33.9,"Atirador",120,694,318,20,1225.5,42.6,10,35,45,80,3324,98.9,12.5,41.6,41555,90.2,109,14.28,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,121.7,33.9,"Medico",120,2054,213,362,380.8,42.6,10,39,49,73,3361,100,13.61,46,46046,100,67,16.45,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,121.7,43.9,"Lutador",150,2801,382,458,488.4,65.2,10,40,50,72,5067,98.6,13.89,70.4,70371,100,62,27,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,121.7,43.9,"Assassino",150,804,384,20,1722.5,65.2,10,35,45,80,5114,99.6,12.5,63.9,63923,90.8,114,26.77,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,121.7,43.9,"Atirador",150,832,394,24,1851.4,65.2,10,35,45,80,5114,99.6,12.5,63.9,63923,90.8,107,25.56,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,121.7,43.9,"Medico",150,2528,267,452,534.8,65.2,10,39,49,73,5137,100,13.61,70.4,70371,100,63,32.04,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,121.7,53.9,"Lutador",180,3125,446,498,602.1,97.4,10,40,50,72,7574,99,13.89,105.2,105201,100,107,49.17,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,121.7,53.9,"Assassino",192,1020,446,36,2300,97.4,10,35,45,80,7647,100,12.5,95.6,95583,90.9,152,38.65,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,121.7,53.9,"Atirador",192,1042,458,40,2482.1,97.4,10,35,45,80,7647,100,12.5,95.6,95583,90.9,147,37.7,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,121.7,53.9,"Medico",180,2840,311,498,654.7,97.4,10,40,50,72,7574,99,13.89,105.2,105201,100,108,57.77,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,121.7,63.9,"Lutador",210,3473,498,544,705.3,143.3,10,41,51,70,10850,96.5,14.17,155,155000,100,115,86.93,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,121.7,63.9,"Assassino",234,1206,506,52,3036,143.3,10,35,45,80,11239,100,12.5,140.5,140481,90.6,140,56.66,"MEDIUM"
