tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,137.63,4.1,"Lutador",30,701,84,96,90,9,6,8.8,14.8,243,2352,100,4.11,9.7,9680,100,8,1.07,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,137.63,4.1,"Assassino",30,246,86,4,129.9,9,6,8.73,14.73,244,2192,93.2,4.09,9,8986,92.8,12,1.05,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,137.63,4.1,"Atirador",30,268,88,6,130.5,9,6,8.42,14.42,249,2237,95.1,4.01,9,8986,92.8,11,1.03,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,137.63,4.1,"Medico",30,632,62,94,74.9,9,6,9.29,15.29,235,2275,96.7,4.25,9.7,9680,100,8,1.16,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,137.63,14.1,"Lutador",60,1229,160,186,180.6,15.2,6,25.68,31.68,113,1863,100,8.8,16.5,16488,100,19,2.31,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,137.63,14.1,"Assassino",60,402,160,10,355.8,15.2,6,23.99,29.99,120,1816,97.5,8.33,15.1,15135,91.8,25,2.18,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,137.63,14.1,"Atirador",60,424,160,14,355.3,15.2,6,23.99,29.99,120,1816,97.5,8.33,15.1,15135,91.8,22,1.98,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,137.63,14.1,"Medico",60,1112,114,184,155.9,15.2,6,25.93,31.93,112,1847,99.1,8.87,16.5,16488,100,19,2.6,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,137.63,24.1,"Lutador",90,1739,236,274,281.9,27.2,6,32.81,38.81,92,2719,100,10.78,29.6,29558,100,39,7.68,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,137.63,24.1,"Assassino",90,534,236,14,726.5,27.2,6,30.12,36.12,99,2650,97.5,10.03,26.8,26763,90.5,66,8.22,"MEDIUM"
