tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,120.67,3.9,"Lutador",30,701,84,96,90,8.7,11,8.36,19.36,185,1726,100,5.38,9.3,9331,100,8,1.05,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,120.67,3.9,"Assassino",30,246,86,4,129.9,8.7,11,8.3,19.3,186,1614,93.5,5.36,8.7,8679,93,11,1.01,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,120.67,3.9,"Atirador",30,268,88,6,130.5,8.7,11,7.96,18.96,189,1640,95,5.27,8.7,8679,93,11,0.99,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,120.67,3.9,"Medico",30,632,62,94,74.9,8.7,11,8.82,19.82,181,1689,97.9,5.51,9.3,9331,100,8,1.13,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,120.67,13.9,"Lutador",60,1229,160,186,180.6,14.8,11,24.68,35.68,100,1600,100,9.91,16,15997,100,18,2.18,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,120.67,13.9,"Assassino",60,402,160,10,355.8,14.8,11,23.03,34.03,105,1543,96.4,9.45,14.7,14693,91.8,22,2.01,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,120.67,13.9,"Atirador",60,424,160,14,355.3,14.8,11,23.03,34.03,105,1543,96.4,9.45,14.7,14693,91.8,20,1.83,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,120.67,13.9,"Medico",60,1112,114,184,155.9,14.8,11,24.93,35.93,100,1600,100,9.98,16,15997,100,18,2.42,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,120.67,23.9,"Lutador",90,1739,236,274,281.9,26.3,11,32.08,43.08,83,2378,100,11.97,28.6,28650,100,36,7.14,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,120.67,23.9,"Assassino",90,534,236,14,726.5,26.3,11,29.43,40.43,89,2309,97.1,11.23,25.9,25941,90.5,61,7.67,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,120.67,23.9,"Atirador",90,550,240,16,751.2,26.3,11,29.43,40.43,89,2309,97.1,11.23,25.9,25941,90.5,58,7.42,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,120.67,23.9,"Medico",90,1580,164,272,254.3,26.3,11,32.08,43.08,83,2378,100,11.97,28.6,28650,100,37,8.47,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,120.67,33.9,"Lutador",120,2261,306,364,383.9,42.6,11,39,50,72,3317,100,13.89,46.1,46070,100,65,13.78,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,120.67,33.9,"Assassino",120,672,310,18,1161.2,42.6,11,35,46,78,3243,97.8,12.78,41.6,41576,90.2,115,14.9,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,120.67,33.9,"Atirador",120,694,318,20,1225.5,42.6,11,35,46,78,3243,97.8,12.78,41.6,41576,90.2,109,14.29,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,120.67,33.9,"Medico",120,2054,213,362,380.8,42.6,11,39,50,72,3317,100,13.89,46.1,46070,100,67,16.48,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,120.67,43.9,"Lutador",150,2801,382,458,488.4,65.2,11,40,51,70,4928,97.2,14.17,70.4,70402,100,62,27.04,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,120.67,43.9,"Assassino",150,804,384,20,1722.5,65.2,11,35,46,78,4988,98.4,12.78,64,63951,90.8,114,26.79,"MEDIUM"
