tier,className,potionQuantity,safeBattles,potionsUsed,finalHp,finalHpPercent,riskLevel
1,"Lutador",0,655,0,0,0,"HIGH"
1,"Lutador",10,1402,10,0,0,"HIGH"
1,"Lutador",25,2524,25,0,0,"HIGH"
1,"Lutador",50,4393,50,0,0,"HIGH"
1,"Lutador",100,8131,100,0,0,"HIGH"
1,"Assassino",0,234,0,0,0,"HIGH"
1,"Assassino",10,996,10,0,0,"HIGH"
1,"Assassino",25,2139,25,0,0,"HIGH"
1,"Assassino",50,4043,50,0,0,"HIGH"
1,"Assassino",100,7853,100,0,0,"HIGH"
1,"Atirador",0,262,0,0,0,"HIGH"
1,"Atirador",10,1047,10,0,0,"HIGH"
1,"Atirador",25,2223,25,0,0,"HIGH"
1,"Atirador",50,4184,50,0,0,"HIGH"
1,"Atirador",100,8105,100,0,0,"HIGH"
1,"Medico",0,544,0,0,0,"HIGH"
1,"Medico",10,1406,10,0,0,"HIGH"
1,"Medico",25,2699,25,0,0,"HIGH"
1,"Medico",50,4855,50,0,0,"HIGH"
1,"Medico",100,9165,100,0,0,"HIGH"
2,"Lutador",0,529,0,0,0,"HIGH"
2,"Lutador",10,874,10,0,0,"HIGH"
2,"Lutador",25,1391,25,0,0,"HIGH"
2,"Lutador",50,2253,50,0,0,"HIGH"
2,"Lutador",100,3978,100,0,0,"HIGH"
2,"Assassino",0,183,0,0,0,"HIGH"
2,"Assassino",10,548,10,0,0,"HIGH"
2,"Assassino",25,1096,25,0,0,"HIGH"
2,"Assassino",50,2010,50,0,0,"HIGH"
2,"Assassino",100,3836,100,0,0,"HIGH"
2,"Atirador",0,214,0,0,0,"HIGH"
2,"Atirador",10,618,10,0,0,"HIGH"
2,"Atirador",25,1224,25,0,0,"HIGH"
2,"Atirador",50,2234,50,0,0,"HIGH"
2,"Atirador",100,4254,100,0,0,"HIGH"
2,"Medico",0,426,0,0,0,"HIGH"
2,"Medico",10,809,10,0,0,"HIGH"
2,"Medico",25,1383,25,0,0,"HIGH"
2,"Medico",50,2341,50,0,0,"HIGH"
2,"Medico",100,4257,100,0,0,"HIGH"
3,"Lutador",0,226,0,0,0,"HIGH"
3,"Lutador",10,445,10,0,0,"HIGH"
3,"Lutador",25,775,25,0,0,"HIGH"
3,"Lutador",50,1324,50,0,0,"HIGH"
3,"Lutador",100,2423,100,0,0,"HIGH"
3,"Assassino",0,64,0,0,0,"HIGH"
3,"Assassino",10,211,10,0,0,"HIGH"
3,"Assassino",25,431,25,0,0,"HIGH"
3,"Assassino",50,799,50,0,0,"HIGH"
3,"Assassino",100,1533,100,0,0,"HIGH"
3,"Atirador",0,69,0,0,0,"HIGH"
3,"Atirador",10,222,10,0,0,"HIGH"
3,"Atirador",25,451,25,0,0,"HIGH"
3,"Atirador",50,834,50,0,0,"HIGH"
3,"Atirador",100,1599,100,0,0,"HIGH"
3,"Medico",0,173,0,0,0,"HIGH"
3,"Medico",10,396,10,0,0,"HIGH"
3,"Medico",25,731,25,0,0,"HIGH"
3,"Medico",50,1289,50,0,0,"HIGH"
3,"Medico",100,2404,100,0,0,"HIGH"
4,"Lutador",0,152,0,0,0,"HIGH"
4,"Lutador",10,280,10,0,0,"HIGH"
4,"Lutador",25,472,25,0,0,"HIGH"
4,"Lutador",50,792,50,0,0,"HIGH"
4,"Lutador",100,1432,100,0,0,"HIGH"
4,"Assassino",0,42,0,0,0,"HIGH"
4,"Assassino",10,122,10,0,0,"HIGH"
4,"Assassino",25,241,25,0,0,"HIGH"
4,"Assassino",50,440,50,0,0,"HIGH"
4,"Assassino",100,838,100,0,0,"HIGH"
4,"Atirador",0,45,0,0,0,"HIGH"
4,"Atirador",10,129,10,0,0,"HIGH"
4,"Atirador",25,254,25,0,0,"HIGH"
4,"Atirador",50,463,50,0,0,"HIGH"
4,"Atirador",100,880,100,0,0,"HIGH"
4,"Medico",0,115,0,0,0,"HIGH"
4,"Medico",10,243,10,0,0,"HIGH"
4,"Medico",25,435,25,0,0,"HIGH"
4,"Medico",50,754,50,0,0,"HIGH"
4,"Medico",100,1393,100,0,0,"HIGH"
5,"Lutador",0,96,0,0,0,"HIGH"
5,"Lutador",10,237,10,0,0,"HIGH"
5,"Lutador",25,449,25,0,0,"HIGH"
5,"Lutador",50,803,50,0,0,"HIGH"
5,"Lutador",100,1511,100,0,0,"HIGH"
5,"Assassino",0,28,0,0,0,"HIGH"
5,"Assassino",10,110,10,0,0,"HIGH"
5,"Assassino",25,233,25,0,0,"HIGH"
5,"Assassino",50,438,50,0,0,"HIGH"
5,"Assassino",100,848,100,0,0,"HIGH"
5,"Atirador",0,30,0,0,0,"HIGH"
5,"Atirador",10,117,10,0,0,"HIGH"
5,"Atirador",25,246,25,0,0,"HIGH"
5,"Atirador",50,463,50,0,0,"HIGH"
5,"Atirador",100,895,100,0,0,"HIGH"
5,"Medico",0,73,0,0,0,"HIGH"
5,"Medico",10,212,10,0,0,"HIGH"
5,"Medico",25,421,25,0,0,"HIGH"
5,"Medico",50,770,50,0,0,"HIGH"
5,"Medico",100,1468,100,0,0,"HIGH"
6,"Lutador",0,58,0,0,0,"HIGH"
6,"Lutador",10,142,10,0,0,"HIGH"
6,"Lutador",25,266,25,0,0,"HIGH"
6,"Lutador",50,474,50,0,0,"HIGH"
6,"Lutador",100,890,100,0,0,"HIGH"
6,"Assassino",0,24,0,0,0,"HIGH"
6,"Assassino",10,86,10,0,0,"HIGH"
6,"Assassino",25,178,25,0,0,"HIGH"
6,"Assassino",50,332,50,0,0,"HIGH"
6,"Assassino",100,639,100,0,0,"HIGH"
6,"Atirador",0,26,0,0,0,"HIGH"
6,"Atirador",10,89,10,0,0,"HIGH"
6,"Atirador",25,184,25,0,0,"HIGH"
6,"Atirador",50,343,50,0,0,"HIGH"
6,"Atirador",100,660,100,0,0,"HIGH"
6,"Medico",0,45,0,0,0,"HIGH"
6,"Medico",10,128,10,0,0,"HIGH"
6,"Medico",25,253,25,0,0,"HIGH"
6,"Medico",50,461,50,0,0,"HIGH"
6,"Medico",100,877,100,0,0,"HIGH"
7,"Lutador",0,37,0,0,0,"HIGH"
7,"Lutador",10,116,10,0,0,"HIGH"
7,"Lutador",25,235,25,0,0,"HIGH"
7,"Lutador",50,433,50,0,0,"HIGH"
7,"Lutador",100,828,100,0,0,"HIGH"
7,"Assassino",0,20,0,0,0,"HIGH"
7,"Assassino",10,86,10,0,0,"HIGH"
7,"Assassino",25,187,25,0,0,"HIGH"
7,"Assassino",50,354,50,0,0,"HIGH"
7,"Assassino",100,688,100,0,0,"HIGH"
7,"Atirador",0,21,0,0,0,"HIGH"
7,"Atirador",10,90,10,0,0,"HIGH"
7,"Atirador",25,194,25,0,0,"HIGH"
7,"Atirador",50,368,50,0,0,"HIGH"
7,"Atirador",100,716,100,0,0,"HIGH"
7,"Medico",0,28,0,0,0,"HIGH"
7,"Medico",10,106,10,0,0,"HIGH"
7,"Medico",25,223,25,0,0,"HIGH"
7,"Medico",50,417,50,0,0,"HIGH"
7,"Medico",100,807,100,0,0,"HIGH"
8,"Lutador",0,23,0,0,0,"HIGH"
8,"Lutador",10,73,10,0,0,"HIGH"
8,"Lutador",25,147,25,0,0,"HIGH"
8,"Lutador",50,271,50,0,0,"HIGH"
