tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,127.72,4,"Lutador",30,701,84,96,90,8.8,8,8.51,16.51,218,2061,100,4.59,9.5,9456,100,8,1.06,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,127.72,4,"Assassino",30,246,86,4,129.9,8.8,8,8.45,16.45,218,1915,92.9,4.57,8.8,8785,92.9,11,1.02,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,127.72,4,"Atirador",30,268,88,6,130.5,8.8,8,8.12,16.12,223,1959,95.1,4.48,8.8,8785,92.9,11,1,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,127.72,4,"Medico",30,632,62,94,74.9,8.8,8,8.99,16.99,211,1995,96.8,4.72,9.5,9456,100,8,1.14,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,127.72,14,"Lutador",60,1229,160,186,180.6,14.9,8,25.1,33.1,108,1745,100,9.19,16.2,16158,100,18,2.23,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,127.72,14,"Assassino",60,402,160,10,355.8,14.9,8,23.43,31.43,114,1692,97,8.73,14.8,14838,91.8,23,2.07,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,127.72,14,"Atirador",60,424,160,14,355.3,14.9,8,23.43,31.43,114,1692,97,8.73,14.8,14838,91.8,21,1.88,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,127.72,14,"Medico",60,1112,114,184,155.9,14.9,8,25.36,33.36,107,1729,99.1,9.27,16.2,16158,100,18,2.48,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,127.72,24,"Lutador",90,1739,236,274,281.9,26.6,8,32.41,40.41,89,2577,100,11.23,29,28957,100,37,7.33,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,127.72,24,"Assassino",90,534,236,14,726.5,26.6,8,29.74,37.74,95,2491,96.7,10.48,26.2,26224,90.6,63,7.86,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,127.72,24,"Atirador",90,550,240,16,751.2,26.6,8,29.74,37.74,95,2491,96.7,10.48,26.2,26224,90.6,60,7.61,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,127.72,24,"Medico",90,1580,164,272,254.3,26.6,8,32.41,40.41,89,2577,100,11.23,29,28957,100,38,8.67,"MEDIUM"
