sessionLabel,sessionHours,huntingLevel,potionQuantity,tier,level,className,mapName,hp,potionHealAmount,secondsPerFind,ttkSeconds,secondsPerMob,maxKillsByTime,kills,xp,xpPerScheduledHour,xpPerActiveHour,xpPerPotion,potionsUsed,potionsNeededForFullSession,potionCoveragePercent,completionPercent,hoursUntilStop,damagePerHour,finalHpPercent,riskLevel,xpVsBestPercent
"6h",6,1,0,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,667,6136,1022.67,1428.43,6136,0,7,0,71.6,4.3,163.04,0,"HIGH",100
"6h",6,1,5,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1716.8,5,7,71.4,100,6,163.28,17.31,"HIGH",100
"6h",6,1,10,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,142.9,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,20,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,285.7,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,50,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,714.3,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,100,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,999,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,150,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,999,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,200,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,999,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,300,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,999,100,6,163.28,40.14,"MEDIUM",100
"12h",12,1,0,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,667,6136,511.33,1428.43,6136,0,19,0,35.8,4.3,163.04,0,"HIGH",100
"12h",12,1,5,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1048,9642,803.5,1429.37,1928.4,5,19,26.3,56.2,6.75,163.13,0,"HIGH",100
"12h",12,1,10,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1429,13147,1095.58,1429.69,1314.7,10,19,52.6,76.6,9.2,163.17,0,"HIGH",98.1
"12h",12,1,20,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,105.3,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,50,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,263.2,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,100,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,526.3,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,150,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,789.5,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,200,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,999,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,300,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,999,100,12,163.28,37.33,"MEDIUM",100
