tier,huntingLevel,className,secondsPerFind,enemiesPerHour,huntingXpPerHour,xpToNextLevel,enemiesToNextLevel,hoursToNextLevel,cumulativeHoursToReachLevel
1,1,"Caca",15,240,1200,2161,433,1.8,0
2,2,"Caca",15,240,1200,2747,550,2.29,1.8
3,3,"Caca",14,257.1,1285.7,3457,692,2.69,4.1
4,4,"Caca",14,257.1,1285.7,4295,859,3.34,6.79
5,5,"Caca",13,276.9,1384.6,5265,1053,3.8,10.13
6,6,"Caca",13,276.9,1384.6,6370,1274,4.6,13.93
7,7,"Caca",13,276.9,1384.6,7614,1523,5.5,18.53
8,8,"Caca",12,300,1500,8997,1800,6,24.03
9,9,"Caca",12,300,1500,10523,2105,7.02,30.03
10,10,"Caca",12,300,1500,12192,2439,8.13,37.05
11,11,"Caca",12,300,1500,14006,2802,9.34,45.18
12,12,"Caca",11,327.3,1636.4,15966,3194,9.76,54.52
13,13,"Caca",11,327.3,1636.4,18074,3615,11.05,64.28
14,14,"Caca",11,327.3,1636.4,20332,4067,12.43,75.32
15,15,"Caca",11,327.3,1636.4,22739,4548,13.9,87.75
16,16,"Caca",10,360,1800,25297,5060,14.06,101.65
17,17,"Caca",10,360,1800,28008,5602,15.56,115.7
18,18,"Caca",10,360,1800,30872,6175,17.15,131.26
19,19,"Caca",10,360,1800,33889,6778,18.83,148.42
20,20,"Caca",10,360,1800,37061,7413,20.59,167.24
21,21,"Caca",9,400,2000,40389,8078,20.2,187.83
22,22,"Caca",9,400,2000,43873,8775,21.94,208.03
23,23,"Caca",9,400,2000,47514,9503,23.76,229.97
24,24,"Caca",9,400,2000,51313,10263,25.66,253.72
25,25,"Caca",9,400,2000,55270,11054,27.64,279.38
26,26,"Caca",9,400,2000,59386,11878,29.7,307.02
27,27,"Caca",8,450,2250,63662,12733,28.3,336.71
28,28,"Caca",8,450,2250,68098,13620,30.27,365.01
29,29,"Caca",8,450,2250,72695,14539,32.31,395.27
30,30,"Caca",8,450,2250,77453,15491,34.42,427.58
31,31,"Caca",8,450,2250,82374,16475,36.61,462.01
32,32,"Caca",8,450,2250,87456,17492,38.87,498.62
33,33,"Caca",8,450,2250,92702,18541,41.2,537.49
34,34,"Caca",8,450,2250,98112,19623,43.61,578.69
35,35,"Caca",7,514.3,2571.4,103685,20737,40.32,622.3
36,36,"Caca",7,514.3,2571.4,109423,21885,42.55,662.62
37,37,"Caca",7,514.3,2571.4,115326,23066,44.85,705.17
38,38,"Caca",7,514.3,2571.4,121394,24279,47.21,750.03
39,39,"Caca",7,514.3,2571.4,127628,25526,49.63,797.23
40,40,"Caca",7,514.3,2571.4,134028,26806,52.12,846.87
41,41,"Caca",7,514.3,2571.4,140595,28119,54.68,898.99
42,42,"Caca",7,514.3,2571.4,147329,29466,57.3,953.67
43,43,"Caca",7,514.3,2571.4,154231,30847,59.98,1010.96
44,44,"Caca",7,514.3,2571.4,161300,32260,62.73,1070.94
45,45,"Caca",6,600,3000,168538,33708,56.18,1133.67
46,46,"Caca",6,600,3000,175945,35189,58.65,1189.85
47,47,"Caca",6,600,3000,183520,36704,61.17,1248.5
48,48,"Caca",6,600,3000,191265,38253,63.76,1309.67
49,49,"Caca",6,600,3000,199180,39836,66.39,1373.43
50,50,"Caca",6,600,3000,0,0,0,1439.82
