tier,level,mapName,className,hp,defense,agility,potionHealAmount,encounterCount,totalEncounterWeight,weightedMobLevel,averageDamagePerBattle,damagePer1000Battles,noPotionBattles,potions10Battles,potions25Battles,potions50Battles,potions100Battles,noPotionVsBestPercent,potions100VsBestPercent,strongestMobNoPotionBattles,strongestMob25PotionsBattles,strongestMob100PotionsBattles,worstSequence25PotionsBattles,worstSequence100PotionsBattles,riskWith100Potions
1,10,"Subúrbio Silencioso","Lutador",701,96,2,80,6,139.67,4.2,1.07,1070,655,1402,2524,4393,8131,100,88.7,345,1330,4286,1776,5724,"HIGH"
1,10,"Subúrbio Silencioso","Assassino",246,4,44,80,6,139.67,4.2,1.05,1050,234,996,2139,4043,7853,35.7,85.7,73,674,2476,905,3325,"HIGH"
1,10,"Subúrbio Silencioso","Atirador",268,6,38,80,6,139.67,4.2,1.02,1020,262,1047,2223,4184,8105,40,88.4,103,879,3204,1064,3881,"HIGH"
1,10,"Subúrbio Silencioso","Medico",632,94,2,100,6,139.67,4.2,1.16,1160,544,1406,2699,4855,9165,83.1,100,311,1542,5237,1542,5237,"HIGH"
2,20,"Distrito da Ferrugem","Lutador",1229,186,6,80,6,139.67,14.2,2.32,2320,529,874,1391,2253,3978,100,93.4,199,523,1495,629,1799,"HIGH"
2,20,"Distrito da Ferrugem","Assassino",402,10,82,80,6,139.67,14.2,2.19,2190,183,548,1096,2010,3836,34.6,90.1,54,328,1149,410,1436,"HIGH"
2,20,"Distrito da Ferrugem","Atirador",424,14,74,80,6,139.67,14.2,1.98,1980,214,618,1224,2234,4254,40.5,99.9,64,368,1280,473,1645,"HIGH"
2,20,"Distrito da Ferrugem","Medico",1112,184,2,100,6,139.67,14.2,2.61,2610,426,809,1383,2341,4257,80.5,100,134,437,1346,585,1800,"HIGH"
3,30,"Hospital Santa Ruína","Lutador",1739,274,8,169,6,139.67,24.2,7.69,7690,226,445,775,1324,2423,100,100,66,229,716,310,969,"HIGH"
3,30,"Hospital Santa Ruína","Assassino",534,14,118,121,6,139.67,24.2,8.24,8240,64,211,431,799,1533,28.3,63.3,22,151,539,186,663,"HIGH"
3,30,"Hospital Santa Ruína","Atirador",550,16,110,122,6,139.67,24.2,7.97,7970,69,222,451,834,1599,30.5,66,23,153,544,192,682,"HIGH"
3,30,"Hospital Santa Ruína","Medico",1580,272,4,203,6,139.67,24.2,9.1,9100,173,396,731,1289,2404,76.5,99.2,50,212,698,284,933,"HIGH"
4,40,"Terminal dos Esquecidos","Lutador",2261,364,10,190,6,139.67,34.2,14.84,14840,152,280,472,792,1432,100,100,45,141,428,182,553,"HIGH"
4,40,"Terminal dos Esquecidos","Assassino",672,18,157,126,6,139.67,34.2,15.82,15820,42,122,241,440,838,27.6,58.5,16,94,329,114,397,"HIGH"
4,40,"Terminal dos Esquecidos","Atirador",694,20,145,127,6,139.67,34.2,15.21,15210,45,129,254,463,880,29.6,61.5,17,97,338,118,410,"HIGH"
4,40,"Terminal dos Esquecidos","Medico",2054,362,8,227,6,139.67,34.2,17.76,17760,115,243,435,754,1393,75.7,97.3,34,130,417,170,545,"HIGH"
5,50,"Zona de Quarentena 9","Lutador",2801,458,10,412,6,139.67,44.2,29.12,29120,96,237,449,803,1511,100,100,29,138,465,178,600,"HIGH"
5,50,"Zona de Quarentena 9","Assassino",804,20,193,232,6,139.67,44.2,28.3,28300,28,110,233,438,848,29.2,56.1,11,96,351,116,422,"HIGH"
