tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,117.69,3.8,"Lutador",30,701,84,96,90,8.7,12,8.34,20.34,176,1637,100,5.65,9.3,9304,100,8,1.06,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,117.69,3.8,"Assassino",30,246,86,4,129.9,8.7,12,8.28,20.28,177,1533,93.6,5.63,8.7,8661,93.1,11,1.01,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,117.69,3.8,"Atirador",30,268,88,6,130.5,8.7,12,7.93,19.93,180,1559,95.2,5.54,8.7,8661,93.1,11,0.99,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,117.69,3.8,"Medico",30,632,62,94,74.9,8.7,12,8.8,20.8,173,1610,98.4,5.78,9.3,9304,100,8,1.13,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,117.69,13.8,"Lutador",60,1229,160,186,180.6,14.7,12,24.52,36.52,98,1565,100,10.14,16,15969,100,18,2.17,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,117.69,13.8,"Assassino",60,402,160,10,355.8,14.7,12,22.88,34.88,103,1511,96.5,9.69,14.7,14665,91.8,22,2.01,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,117.69,13.8,"Atirador",60,424,160,14,355.3,14.7,12,22.88,34.88,103,1511,96.5,9.69,14.7,14665,91.8,20,1.83,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,117.69,13.8,"Medico",60,1112,114,184,155.9,14.7,12,24.77,36.77,97,1549,99,10.21,16,15969,100,17,2.41,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,117.69,23.8,"Lutador",90,1739,236,274,281.9,26.3,12,31.93,43.93,81,2317,100,12.2,28.6,28601,100,36,7.13,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,117.69,23.8,"Assassino",90,534,236,14,726.5,26.3,12,29.29,41.29,87,2253,97.2,11.47,25.9,25900,90.6,61,7.64,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,117.69,23.8,"Atirador",90,550,240,16,751.2,26.3,12,29.29,41.29,87,2253,97.2,11.47,25.9,25900,90.6,58,7.39,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,117.69,23.8,"Medico",90,1580,164,272,254.3,26.3,12,31.93,43.93,81,2317,100,12.2,28.6,28601,100,37,8.46,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,117.69,33.8,"Lutador",120,2261,306,364,383.9,42.6,12,39,51,70,3220,100,14.17,46,46004,100,65,13.76,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,117.69,33.8,"Assassino",120,672,310,18,1161.2,42.6,12,35,47,76,3154,98,13.06,41.5,41506,90.2,115,14.85,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,117.69,33.8,"Atirador",120,694,318,20,1225.5,42.6,12,35,47,76,3154,98,13.06,41.5,41506,90.2,109,14.23,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,117.69,33.8,"Medico",120,2054,213,362,380.8,42.6,12,39,51,70,3220,100,14.17,46,46004,100,67,16.45,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,117.69,43.8,"Lutador",150,2801,382,458,488.4,65.1,12,40,52,69,4850,98.6,14.44,70.3,70297,100,62,26.98,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,117.69,43.8,"Assassino",150,804,384,20,1722.5,65.1,12,35,47,76,4853,98.6,13.06,63.9,63853,90.8,113,26.7,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,117.69,43.8,"Atirador",150,832,394,24,1851.4,65.1,12,35,47,76,4853,98.6,13.06,63.9,63853,90.8,107,25.49,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,117.69,43.8,"Medico",150,2528,267,452,534.8,65.1,12,39,51,70,4921,100,14.17,70.3,70297,100,63,31.99,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,117.69,53.8,"Lutador",180,3125,446,498,602.1,97.3,12,40,52,69,7251,99.9,14.44,105.1,105084,100,107,49.09,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,117.69,53.8,"Assassino",192,1020,446,36,2300,97.3,12,35,47,76,7257,100,13.06,95.5,95483,90.9,151,38.55,"MEDIUM"
