tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,139.67,4.2,"Lutador",30,701,84,96,90,9,7,8.82,15.82,227,2285,100,4.39,10.1,10066,100,3,1.07,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,139.67,4.2,"Assassino",30,246,86,4,129.9,9,7,8.75,15.75,228,2051,89.8,4.38,9,8995,89.4,25,1.98,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,139.67,4.2,"Atirador",30,268,88,6,130.5,9,7,8.45,15.45,233,2096,91.7,4.29,9,8995,89.4,22,1.86,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,139.67,4.2,"Medico",30,632,62,94,74.9,9,7,9.31,16.31,220,2214,96.9,4.53,10.1,10066,100,3,1.16,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,139.67,14.2,"Lutador",60,1229,160,186,180.6,15.2,7,25.79,32.79,109,1824,100,9.11,16.7,16734,100,5,2.32,"LOW"
2,20,"real-seed-maps","Distrito da Ferrugem",6,139.67,14.2,"Assassino",60,402,160,10,355.8,15.2,7,24.1,31.1,115,1742,95.5,8.64,15.1,15149,90.5,50,6.19,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,139.67,14.2,"Atirador",60,424,160,14,355.3,15.2,7,24.1,31.1,115,1742,95.5,8.64,15.1,15149,90.5,43,5.61,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,139.67,14.2,"Medico",60,1112,114,184,155.9,15.2,7,26.05,33.05,108,1807,99.1,9.18,16.7,16734,100,4,2.61,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,139.67,24.2,"Lutador",90,1739,236,274,281.9,27.2,7,32.89,39.89,90,2691,100,11.08,29.9,29898,100,13,7.69,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,139.67,24.2,"Assassino",90,534,236,14,726.5,27.2,7,30.19,37.19,96,2571,95.5,10.33,26.8,26785,89.6,120,19.41,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,139.67,24.2,"Atirador",90,550,240,16,751.2,27.2,7,30.19,37.19,96,2571,95.5,10.33,26.8,26785,89.6,112,18.68,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,139.67,24.2,"Medico",90,1580,164,272,254.3,27.2,7,32.89,39.89,90,2691,100,11.08,29.9,29898,100,12,9.1,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,139.67,34.2,"Lutador",120,2261,306,364,383.9,43.9,7,39,46,78,3761,100,12.78,48.2,48218,100,20,14.84,"MEDIUM"
