tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,488.22,5.7,"Lutador",30,701,84,96,90,9.8,7,11.43,18.43,195,2142,100,0.51,11,1098,100,0,1.74,"LOW"
1,10,"real-seed-maps","Subúrbio Silencioso",6,488.22,5.7,"Assassino",30,246,86,4,129.9,9.8,7,11.26,18.26,197,1934,90.3,0.51,9.8,982,89.4,6,5.84,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,488.22,5.7,"Atirador",30,268,88,6,130.5,9.8,7,11.11,18.11,198,1944,90.8,0.5,9.8,982,89.4,5,5.65,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,488.22,5.7,"Medico",30,632,62,94,74.9,9.8,7,11.89,18.89,190,2087,97.4,0.52,11,1098,100,0,2.21,"LOW"
2,20,"real-seed-maps","Distrito da Ferrugem",6,488.22,15.7,"Lutador",60,1229,160,186,180.6,16.3,7,31.61,38.61,93,1681,100,1.07,18.1,1807,100,0,6.1,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,488.22,15.7,"Assassino",60,402,160,10,355.8,16.3,7,29.75,36.75,97,1586,94.3,1.02,16.3,1635,90.5,12,15.85,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,488.22,15.7,"Atirador",60,424,160,14,355.3,16.3,7,29.75,36.75,97,1586,94.3,1.02,16.3,1635,90.5,10,14.78,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,488.22,15.7,"Medico",60,1112,114,184,155.9,16.3,7,31.91,38.91,92,1663,98.9,1.08,18.1,1807,100,0,7.16,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,488.22,25.7,"Lutador",90,1739,236,274,281.9,29.6,7,36.13,43.13,83,2708,100,1.2,32.6,3263,100,3,25.5,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,488.22,25.7,"Assassino",90,534,236,14,726.5,29.6,7,33.28,40.28,89,2585,95.5,1.12,29,2905,89,29,48.6,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,488.22,25.7,"Atirador",90,550,240,16,751.2,29.6,7,33.28,40.28,89,2585,95.5,1.12,29,2905,89,27,47.87,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,488.22,25.7,"Medico",90,1580,164,272,254.3,29.6,7,36.28,43.28,83,2708,100,1.2,32.6,3263,100,3,30.41,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,488.22,35.7,"Lutador",120,2261,306,364,383.9,47.6,7,37.99,44.99,80,4200,100,1.25,52.5,5250,100,6,52.79,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,488.22,35.7,"Assassino",120,672,310,18,1161.2,47.6,7,34.14,41.14,87,4055,96.5,1.14,46.6,4660,88.8,41,86.46,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,488.22,35.7,"Atirador",120,694,318,20,1225.5,47.6,7,33.99,40.99,87,4055,96.5,1.14,46.6,4660,88.8,40,85.73,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,488.22,35.7,"Medico",120,2054,213,362,380.8,47.6,7,37.99,44.99,80,4200,100,1.25,52.5,5250,100,6,62.59,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,488.22,45.7,"Lutador",150,2801,382,458,488.4,72,7,40,47,76,6019,97.4,1.31,79.2,7919,100,10,99.18,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,488.22,45.7,"Assassino",150,804,384,20,1722.5,72,7,35,42,85,6017,97.4,1.17,70.8,7079,89.4,57,142.16,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,488.22,45.7,"Atirador",150,832,394,24,1851.4,72,7,35,42,85,6017,97.4,1.17,70.8,7079,89.4,55,140.36,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,488.22,45.7,"Medico",150,2528,267,452,534.8,72,7,39,46,78,6177,100,1.28,79.2,7919,100,9,116.87,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,488.22,55.7,"Lutador",180,3125,446,498,602.1,108,7,40,47,76,9032,100,1.31,118.8,11884,100,15,153.83,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,488.22,55.7,"Assassino",180,948,446,24,2300,108,7,35,42,85,8995,99.6,1.17,105.8,10583,89.1,67,195.1,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,488.22,55.7,"Atirador",180,970,458,28,2482.1,108,7,35,42,85,8995,99.6,1.17,105.8,10583,89.1,65,193.53,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,488.22,55.7,"Medico",180,2840,311,498,654.7,108,7,40,47,76,9032,100,1.31,118.8,11884,100,13,179.27,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,488.22,65.7,"Lutador",210,3473,498,544,705.3,157.3,7,41,48,75,12986,98.7,1.33,173.1,17315,100,26,284.27,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,488.22,65.7,"Assassino",210,1086,506,28,3036,157.3,7,35,42,85,13084,99.4,1.17,153.9,15393,88.9,93,306.75,"HIGH"
7,70,"real-seed-maps","Avenida dos Caídos",6,488.22,65.7,"Atirador",210,1114,518,34,3226.4,157.3,7,35,42,85,13084,99.4,1.17,153.9,15393,88.9,89,303.81,"HIGH"
7,70,"real-seed-maps","Avenida dos Caídos",6,488.22,65.7,"Medico",210,3128,353,540,800.6,157.3,7,40,47,76,13159,100,1.31,173.1,17315,100,22,328.9,"MEDIUM"
